filename,species,individual,Name,temperature,date,preystartdist,timeprojstart,maxproj,timemaxproj,peakprojvel,timemaxprojvel,peakprojacc,timemaxprojacc,peakmmsprojpower,timemaxprojpower,maxlunge,timemaxlunge,peaklungevel,timemaxlungevel,peaklungeacc,timemmaxlungeacc,peakbmslungepower,timemaxlungepower,maxreach,timemaxreach,tonguestartdist
Pm 003 (20) 08-Jul-24_18-57-33_00401xypts.csv,Pm,3,Pm3,20,8-Jul-24,6.374239776,0.207666667,3.962178183,0.239666667,0.292,0.214,208.8,0.208,9.4198005,0.212,5.445560317,0.249666667,0.0712,0.207333333,4.47,0.287666667,0.218115,0.200666667,9.357700077,0.24,6.117199408
Pm 003 (25) 19-Mar-25_16_58_57_01263xypts.csv,Pm,3,Pm3,25,19-Mar-25,21.64311494,0.088,3.611308929,0.129,0.145,0.094,237.3,0.116333333,3.8464497,0.092333333,14.45342602,0.142333333,0.094,0.108666667,15.66,0.043,0.38346,0.103,17.68900151,0.139333333,16.34193733
Pm 003 (25) 22-Jul-24_18-51-09_00525xypts.csv,Pm,3,Pm3,25,22-Jul-24,21.11911926,0.393666667,6.196453637,0.425333333,0.28,0.396666667,516,0.394,17.460972,0.395333333,19.9249244,0.425666667,0.059,0.412,6.03,0.457,0.085995,0.408,26.12014263,0.425666667,8.974594004
Pm 003 (25) 22-Jul-24_18-54-43_00527xypts.csv,Pm,3,Pm3,25,22-Jul-24,12.03408834,0.247666667,4.128827849,0.269,0.319,0.249333333,471,0.248,33.861588,0.28,7.886996648,0.282333333,0.0729,0.260333333,2.742,0.23,0.1505424,0.254,11.77989432,0.277333333,7.924475494
Pm 003 (25) 24-Mar-25_22_48_19_01317xypts.csv,Pm,3,Pm3,25,24-Mar-25,12.65759823,0.064,4.943457373,0.113666667,0.267,0.092,363,0.064333333,11.2604655,0.090333333,10.96901054,0.147,0.0521,0.079333333,1.386,0.026333333,0.05772,0.074333333,14.3809577,0.115,9.143562761
Pm 003 (25) 24-Mar-25_22_50_47_01318xypts.csv,Pm,3,Pm3,25,24-Mar-25,4.951684302,0.067,3.164702853,0.100666667,0.169,0.077,108.6,0.067333333,2.6913597,0.075,6.539198079,0.106,0.0428,0.055666667,2.544,0.045,0.0753972,0.048333333,9.593139156,0.101666667,2.46970287
Pm 003 (25) 24-Mar-25_22_53_59_01319xypts.csv,Pm,3,Pm3,25,24-Mar-25,16.69454466,0.058333333,3.964554038,0.104,0.166,0.067333333,141,0.058666667,2.9063394,0.065333333,9.769856234,0.119333333,0.066,0.075666667,2.148,0.050333333,0.0959769,0.052,13.63215898,0.107,13.92998591
Pm 003 (25) 24-Mar-25_22-45-06_01316xypts.csv,Pm,3,Pm3,25,24-Mar-25,13.6467099,0.04,4.693009146,0.092,0.165,0.056666667,375,0.073333333,6.746889,0.043,11.69700351,0.114,0.0569,0.072666667,1.71,0.024333333,0.0529482,0.054333333,15.52583711,0.103666667,11.40017441
Pm 003 (25) 24-Mar-25_23-00-33_01321xypts.csv,Pm,3,Pm3,25,24-Mar-25,18.27340548,0.071,4.698177658,0.112666667,0.181,0.088,357,0.071333333,5.6901894,0.086666667,13.2292064,0.151,0.0756,0.063666667,3.27,0.024333333,0.1463868,0.054666667,17.48915508,0.122666667,10.28820272
Pm 004 (10) 07-Aug-24_18-19-00_00603xypts.csv,Pm,4,Pm4,10,7-Aug-24,5.326998779,0.071333333,1.989562632,0.1,0.216,0.077333333,180.3,0.091333333,7.8514542,0.076,2.675561382,0.105,0.023,0.076,2.322,0.043,0.014763,0.067333333,4.621957574,0.100333333,3.952116201
Pm 004 (10) 07-Aug-24_18-25-36_00604xypts.csv,Pm,4,Pm4,10,7-Aug-24,13.3877857,0.14,6.086001134,0.211666667,0.168,0.152666667,166.2,0.173333333,3.9720969,0.160666667,9.89216262,0.310333333,0.038,0.181666667,1.455,0.149,0.0357417,0.151333333,14.50367191,0.215,11.9210403
Pm 004 (10) 07-Aug-24_18-41-11_00605xypts.csv,Pm,4,Pm4,10,7-Aug-24,15.83531206,0.061,5.285112892,0.135,0.185,0.083666667,204.3,0.062666667,6.2600892,0.082333333,9.731163156,0.148666667,0.0423,0.096666667,1.05,0.054666667,0.0210516,0.075,14.83958224,0.149,13.95594023
Pm 004 (10) 07-Aug-24_18-42-54_00606xypts.csv,Pm,4,Pm4,10,7-Aug-24,20.15457462,0.179333333,3.899514174,0.250666667,0.145,0.207666667,264.6,0.179666667,4.7222406,0.18,18.30470794,0.271333333,0.0732,0.221666667,1.902,0.183,0.0891594,0.183666667,21.52512546,0.258333333,15.34011751
Pm 004 (15) 15-Jul-24_18_54_16_00468xypts.csv,Pm,4,Pm4,15,15-Jul-24,15.13982109,0.049666667,5.088801634,0.114,0.203,0.065,155.7,0.073666667,5.2597314,0.074333333,11.51116209,0.110666667,0.0743,0.073333333,1.866,0.062,0.11574,0.065,16.59062526,0.113666667,12.41648608
Pm 004 (15) 15-Jul-24_18-50-44_00466xypts.csv,Pm,4,Pm4,15,15-Jul-24,10.7272681,0.037,6.015620789,0.091,0.234,0.046,209.4,0.070333333,4.4874,0.039,7.210633255,0.097333333,0.108,0.060333333,11.37,0.041333333,0.671058,0.056,13.11498566,0.091666667,10.84499693
Pm 004 (15) 15-Jul-24_18-52-34_00467xypts.csv,Pm,4,Pm4,15,15-Jul-24,25.33443347,0.56,6.252659516,0.612,0.188,0.579,327,0.560333333,7.7331198,0.569333333,28.46039707,0.63,0.113,0.59,2.319,0.686333333,0.1844262,0.555333333,34.35691846,0.631,19.11798726
Pm 004 (20) 08-Jul-24_19-15-35_00406xypts.csv,Pm,4,Pm4,20,8-Jul-24,18.39854445,0.049666667,5.333789537,0.107,0.266,0.054333333,438,0.052,17.291448,0.053,20.51503051,0.116,0.0925,0.054,3.03,0.029333333,0.2079,0.030333333,25.58074878,0.108666667,13.55514252
Pm 004 (20) 08-Jul-24_19-19-01_00407xypts.csv,Pm,4,Pm4,20,8-Jul-24,15.80138809,0.042666667,4.975580195,0.089333333,0.284,0.046,498,0.043,15.862959,0.044,11.4881457,0.095333333,0.0661,0.059333333,1.869,0.007666667,0.0634311,0.046,16.34809502,0.089666667,11.36242969
Pm 004 (20) 08-Jul-24_19-21-57_00405xypts.csv,Pm,4,Pm4,20,8-Jul-24,11.2073673,0.150666667,4.148103383,0.183333333,0.275,0.155333333,393,0.152666667,16.30422,0.153666667,15.21281432,0.213333333,0.0941,0.167666667,2.403,0.160666667,0.200976,0.161666667,16.93825403,0.192333333,6.587784818
Pm 004 (20) 08-Jul-24_19-21-57_00408xypts.csv,Pm,4,Pm4,20,8-Jul-24,33.67841803,0.026666667,7.042501604,0.117333333,0.392,0.047666667,630,0.06,34.075155,0.046333333,18.51174969,0.095666667,0.0954,0.047333333,5.37,0.000666667,0.205662,0.004333333,25.2673513,0.117333333,29.18610991
Pm 004 (20) 08-Jul-24_19-24-04_00409xypts.csv,Pm,4,Pm4,20,8-Jul-24,17.14353096,0.074333333,6.098832973,0.130333333,0.235,0.106333333,303,0.104,11.7405342,0.105,16.72114335,0.132333333,0.0824,0.100666667,2.367,0.052,0.1087809,0.053666667,22.8122734,0.130666667,11.49772701
Pm 004 (25) 22-Jul-24_19_07_13_00529xypts.csv,Pm,4,Pm4,25,22-Jul-24,18.38376304,0.083,5.217917968,0.129,0.269,0.087333333,435,0.083666667,15.1643373,0.085666667,20.26887764,0.160333333,0.0938,0.106333333,2.745,0.051333333,0.1660068,0.069,23.85093979,0.132333333,12.02047333
Pm 004 (25) 22-Jul-24_19-09-04_00530xypts.csv,Pm,4,Pm4,25,22-Jul-24,3.378760317,0.065,2.770990849,0.08,0.241,0.072333333,366,0.069333333,12.6956025,0.070666667,3.084923114,0.104,0.0205,0.055333333,1.734,0.049,0.025632,0.050666667,5.122367266,0.080666667,1.917528331
Pm 004 (25) 22-Jul-24_19-10-30_00531xypts.csv,Pm,4,Pm4,25,22-Jul-24,4.748194305,0.014,2.404943418,0.025333333,0.17,0.018333333,253.5,0.015333333,6.125301,0.017,2.811089956,0.036666667,0.0408,0.012333333,3.45,0.002,0.088434,0.005333333,4.945938343,0.028666667,3.541549584
